siri_mode,otp_mode
"additionalTrainService",""
"air",""
"airportBoatLink",""
"airportLinkBus",""
"airService",""
"airshipService",""
"all",""
"allAirServices",""
"allBusServices",""
"allCoachServices",""
"allFunicularServices",""
"allHireVehicles",""
"allRailServices",""
"allServices",""
"allServicesExcept",""
"allTaxiServices",""
"allTelecabinServices",""
"allTramServices",""
"allWaterTransportServices",""
"bikeTaxi",""
"blackCab",""
"bus",""
"busService",""
"cableCar",""
"cableFerry",""
"carTransportRailService",""
"chairLift",""
"cityTram",""
"coach",""
"coachService",""
"communalTaxi",""
"commuterCoachService",""
"crossCountryRailService",""
"demandAndResponseBus",""
"domesticCharterFlight",""
"domesticFlight",""
"domesticScheduledFlight",""
"dragLift",""
"eggLift",""
"expressBus",""
"ferryService",""
"funicular",""
"funicularService",""
"helicopterService",""
"highSpeedPassengerService",""
"highSpeedRailService",""
"highSpeedVehicleService",""
"hireCar",""
"hireCycle",""
"hireMotorbike",""
"hireVan",""
"interbational",""
"intercontinentalCharterFlight",""
"intercontinentalFlight",""
"internationalCarFerryService",""
"internationalCharterFlight",""
"internationalCoachService",""
"internationalFlight",""
"internationalPassengerFerry",""
"interRegionalRailService",""
"lift",""
"local",""
"localBusService",""
"localCarFerryService",""
"localPassengerFerry",""
"localTramService",""
"longDistanceTrain",""
"lorryTransportRailService",""
"metro",""
"metroService",""
"mineralBuckets",""
"miniCab",""
"mobilityBus",""
"mobilityBusForRegisteredDisabled",""
"nationalCarFerryService",""
"nationalCoachService",""
"nationalPassengerFerry",""
"nightBus",""
"postBoat",""
"postBus",""
"rackAndPinionRailway",""
"rail",""
"railReplacementBus",""
"railShuttle",""
"railTaxi",""
"railwayService",""
"regionalBus",""
"regionalCarFerryService",""
"regionalCoachService",""
"regionalPassengerFerry",""
"regionalRail",""
"regionalTram",""
"replacementRailService",""
"riverBus",""
"roadFerryLink",""
"roundTripCharterFlight",""
"scheduledFerry",""
"SchengenAreaFlight",""
"schoolAndPublicServiceBus",""
"schoolBoat",""
"schoolBus",""
"selfDrive",""
"shortHaulInternationalFlight",""
"shuttleBus",""
"shuttleCoachService",""
"shuttleFerryService",""
"shuttleFlight",""
"shuttleTram",""
"sightseeingBus",""
"sightseeingCoachService",""
"sightseeingFlight",""
"sightseeingService",""
"sightseeingTram",""
"sleeperRailService",""
"smallTelecabin",""
"specialCoachService",""
"specialNeedsBus",""
"specialTrainService",""
"suburbanRail",""
"suburbanRailway",""
"suburbanRailwayService",""
"taxi",""
"taxiService",""
"telecabin",""
"telecabinLink",""
"telecabinService",""
"touristCoachService",""
"touristRailway",""
"trainFerry",""
"tram",""
"tramService",""
"trolleyBus",""
"trolleyBusService",""
"tube",""
"undefined",""
"undefinedAircraftService",""
"undefinedFunicular",""
"undefinedHireVehicle",""
"undefinedTaxiService",""
"undefinedTramService",""
"undefinedWaterTransport",""
"underground",""
"undergroundService",""
"unknown",""
"urbanRail",""
"urbanRailway",""
"urbanRailwayService",""
"vehicleRailTransportService",""
"water",""
"waterTaxi",""
"waterTransport",""
"waterTransportService",""
