NeTEx Id;GlobalID;MetaID;Name;Steward;Destination Systems;Crossborder;long;lat;Main Mode;epPrio;CheckIn;Checkout;VAORemarks;(ARIA only) Name as found in time tables;(ARIA only) ARIA Name;(ARIA only) ARIA Remarks;(ARIA only) Answers / remarks SBB;ARIA id;Meta stop to bridge systems?;STA Relevant?;STA Id;STA Remarks;ARIA Relevant?;ARIA Id;ARIA Remarks;5T Relevant?;5T  Id;5T Remarks;LUK Relevant?;LUK Id;LUK Remarks;SBB Relevant;SBB Id;DiDok-ID;LUR Id;VAO Id (HAFAS ID);VAO Relevant?;(EU Spirit only) Additional EPs;Main Operator;Country;Remark;TODO;;;;;;;;;;;;;
at:vor:StopPlace:at-43-7234:;;at:43:7234;Amstetten Bahnhof;VAO;SBB,VAO;;14,877781;48,121482;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:43:7234;;;430723400;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vor:StopPlace:at-43-7242:;;at:43:7242;St. Valentin Bahnhof;VAO;SBB,VAO;;14,522039;48,178815;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:43:7242;;;430724200;x;;ÖBB;A;;;;;;;;;;;;;;;
at:oov:StopPlace:at-44-41164:;;at:44:41164;Linz Hauptbahnhof;VAO;SBB,VAO;;14,291594;48,290294;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:44:41164;;;444116400;x;;ÖBB;A;;;;;;;;;;;;;;;
at:oov:StopPlace:at-44-42107:;;at:44:42107;Wels Hauptbahnhof;VAO;SBB,VAO;;14,026717;48,165701;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:44:42107;;;444210700;x;;ÖBB;A;;;;;;;;;;;;;;;
at:oov:StopPlace:at-44-47000:;;at:44:47000;Vöcklabruck Bahnhof;VAO;SBB,VAO;;13,663771;48,009852;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:44:47000;;;444700000;x;;ÖBB;A;;;;;;;;;;;;;;;
at:oov:StopPlace:at-44-47200:;;at:44:47200;Attnang-Puchheim Bahnhof;VAO;SBB,VAO;;13,720984;48,012400;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:44:47200;;;444720000;x;;ÖBB;A;;;;;;;;;;;;;;;
at:svv:StopPlace:at-45-50002:;;at:45:50002;Salzburg Hauptbahnhof;VAO;SBB,VAO;;13,045065;47,813097;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:45:50002;;;455000200;x;;ÖBB;A;;;;;;;;;;;;;;;
at:svv:StopPlace:at-45-50273:;;at:45:50273;Neumarkt-Köstendorf Bahnhof;VAO;SBB,VAO;;13,224962;47,954466;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:45:50273;;;455027300;x;;ÖBB;A;;;;;;;;;;;;;;;
at:stv:StopPlace:at-46-1839:;;at:46:1839;Spielfeld-Straß;VAO;SBB,VAO;;15,629204;46,709695;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:46:1839;;;460183900;x;;ÖBB;A;;;;;;;;;;;;;;;
at:stv:StopPlace:at-46-2065:;;at:46:2065;Bruck an der Mur Bahnhof;VAO;ARIA,SBB,VAO;;15,279220;47,413306;~Train~;;0;0;Fernverkehr;;;;;51228;;;;;;;;;;;;;;x;at:46:2065;;;460206500;x;;ÖBB;A;;;;;;;;;;;;;;;
at:stv:StopPlace:at-46-3040:;;at:46:3040;Graz Hauptbahnhof;VAO;SBB,VAO;;15,417507;47,072482;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:46:3040;;;460304000;x;;ÖBB;A;;;;;;;;;;;;;;;
at:stv:StopPlace:at-46-5511:;;at:46:5511;Unzmarkt Bahnhof;VAO;SBB,VAO;;14,442305;47,200803;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:46:5511;;;460551100;x;;ÖBB;A;;;;;;;;;;;;;;;
at:stv:StopPlace:at-46-6344:;;at:46:6344;Leoben Hauptbahnhof;VAO;ARIA,SBB,VAO;;15,090116;47,386521;~Train~;;0;0;Fernverkehr;;Leoben Hbf;;;51239;;;;;;;;;;;;;;x;at:46:6344;;;460634400;x;;ÖBB;A;;;;;;;;;;;;;;;
at:stv:StopPlace:at-46-7466:;;at:46:7466;Knittelfeld Bahnhof;VAO;ARIA,SBB,VAO;;14,837411;47,215455;~Train~;;0;0;Fernverkehr;;Knittelfeld;;;51229;;;;;;;;;;;;;;x;at:46:7466;;;460746600;x;;ÖBB;A;;;;;;;;;;;;;;;
at:stv:StopPlace:at-46-7469:;;at:46:7469;Judenburg Bahnhof;VAO;SBB,VAO;;14,662769;47,174759;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:46:7469;;;460746900;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-1170:;;at:47:1170;Wörgl Hauptbahnhof;VAO;SBB,VAO;;12,060925;47,491247;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:47:1170;;;470117000;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-1187:;;at:47:1187;Innsbruck Hauptbahnhof;VAO;SBB,VAO;;11,400277;47,263533;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:47:1187;;;470118700;x;;ÖBB;A;;;;;;;;;;;;;;;
